"ID","Numero","FIFADisplayName","Country","LastName","FirstName"
355,10,"LEE Seungwoo","Korea Republic","LEE","Seungwoo S W LEE"
356,11,"HWANG Heechan","Korea Republic","HWANG","Hee Chan H C HWANG"
357,12,"KIM Minwoo","Korea Republic","KIM","Minwoo M W KIM"
358,13,"KOO Jacheol","Korea Republic","KOO","Jacheol J C KOO"
359,14,"HONG Chul","Korea Republic","HONG","Chul C HONG"
360,15,"JUNG Wooyoung","Korea Republic","JUNG","Wooyoung W Y JUNG"
361,16,"KI Sungyueng","Korea Republic","KI","Sungyueng S Y KI"
362,17,"LEE Jaesung","Korea Republic","LEE","Jaesung J S LEE"
363,18,"MOON Seonmin","Korea Republic","MOON","Seon Min S M MOON"
364,19,"KIM Younggwon","Korea Republic","KIM","Younggwon Y G KIM"
365,20,"JANG Hyunsoo","Korea Republic","JANG","Hyunsoo H S JANG"
366,21,"KIM Jinhyeon","Korea Republic","KIM","Jinhyeon J H KIM"
367,22,"GO Yohan","Korea Republic","GO","Yohan Y H GO"
368,23,"JO Hyeonwoo","Korea Republic","JO","Hyeonwoo H W JO"
369,1,"Jose CORONA","Mexico","CORONA RODRIGUEZ","Jose De Jesus"
370,2,"Hugo AYALA","Mexico","AYALA CASTRO","Hugo"
371,3,"Carlos SALCEDO","Mexico","SALCEDO HERNANDEZ","Carlos Joel"
372,4,"Rafael MARQUEZ","Mexico","MARQUEZ ALVAREZ","Rafael"
373,6,"Jonathan DOS SANTOS","Mexico","DOS SANTOS RAMÍREZ","Jonathan"
374,7,"Miguel LAYUN","Mexico","LAYUN PRADO","Miguel Arturo"
375,8,"Marco FABIAN","Mexico","FABIAN DE LA MORA","Marco Jhonfai"
376,9,"Raul JIMENEZ","Mexico","JIMENEZ RODRIGUEZ","Raul Alonso"
